t the
o of
to to
and and
in in
a a
th that
ua ukraine
on on
f for
is is
as as
rian russian
w with
rs russia
wa war
hv have
hs has
fr from
ar are
ur ukrainian
b by
its its
it it
was was
be be
si said
bt but
not not
wl will
at at
wh which
an an
thy they
aot about
mo more
been been
he he
tr their
had had
thi this
mlr military
wr were
wu would
hi his
who who
or or
p putin
se since
up up
pl people
pt president
fs forces
oh other
n nuclear
ao also
cod could
now now
wd world
con country
us us
ot out
ae after
wea weapons
wha what
c countries
al all
may may
oe one
il international
ove over
som some
ra russias
wn when
many many
ta than
int into
doe drones
ky kyiv
ue united
whe where
sp support
i i
e energy
rn region
no no
ne new
sl still
sy says
if if
ee europe
iso invasion
ui ukraines
te there
sh she
sion sanctions
cy city
ud used
bee between
ic including
een european
pwer power
aa against
ari according
two two
ou our
ukns ukrainians
tm them
vi vladimir
bc back
we we
beue because
so so
cn can
hw how
ris regions
wte western
su such
frs first
ve very
even even
mw moscow
d deal
g grain
pat part
ss states
js just
say say
cont conflict
whi while
bing being
ard around
mst most
sa sea
l last
lk like
durg during
mer minister
fd food
civilians civilians
gl global
mi million
aie artillery
use use
the these
missiles missiles
oc officials
ws west
tme time
und under
rus russians
wee week
sol should
her her
ks kherson
kl kremlin
oy only
ay any
wel well
see see
lky likely
ts those
bac black
mae made
ds defense
sc security
atk attacks
gs gas
dn down
nt nato
tl told
gov government
sd soldiers
bo both
fo four
mei media
ke key
tro troops
kil killed
bidn biden
three three
contn continue
fbr february
fe further
end end
op occupied
eastern eastern
aid aid
air air
attk attack
through through
hp help
months months
ps possible
suen southern
aed already
y years
bce become
leat least
mk make
acs across
ec economic
dee defence
itc infrastructure
plant plant
prices prices
own own
for foreign
then then
1 1
bi billion
ns nations
lr leaders
sate state
ses systems
ty territory
mis ministry
ned need
ner near
z zaporizhzhia
sv soviet
fn following
ima information
yu you
le lines
pc public
dnt donetsk
mb mobilization
fon front
cnr concerned
kr kharkiv
effects effects
tk think
ale able
tke take
sia social
mse missile
wer water
nes news
my my
bg began
au announced
days days
figt fight
hg high
mn monday
ci cities
sup supply
gn going
left left
ims images
eu eu
fgn fighting
pa players
pi political
ip important
hee here
bit british
mt month
5 5
mc much
baid battlefield
dd did
hh health
pus push
men men
ah another
strikes strikes
uon union
gr group
ars areas
sr start
conl control
fw few
202 2022
vo volodymyr
da day
dtd destroyed
suh south
tho thousands
cr countrys
arm armed
ep exports
dro drone
srl several
re recent
rpe reported
mrc march
ze zelenskyy
ma major
him him
seb september
ug using
set set
whin within
tet targets
ct capital
gt get
sna sunday
tanks tanks
icr increase
do do
ept expected
eat east
tow town
coe come
uk uk
of off
cs crisis
ag agency
un un
accs access
cl civilian
cle called
oi official
cld cold
sid side
mai main
tu turkey
ecy economy
od order
go go
ati authorities
rss residents
wy way
ld land
hu humanitarian
american american
wino washington
ech each
la largest
aia asia
nh nhl
ht hit
pst past
mgt might
pit point
ko know
tn training
wht without
cm crimea
br border
forced forced
ho home
td turned
ei equipment
moe move
law law
ln long
mki making
fa far
lve leave
vie video
fae face
pr provided
cfn conference
daa damage
rppe ripple
impa impact
amg among
2 2
fc financial
snt sent
pla place
fl family
wek weeks
bk bank
pe peace
mne money
fu future
ships ships
nx next
sgi significant
cose close
noh north
ston station
ye year
clea clear
mu must
di direct
bett better
bn business
cms claims
mas mass
fra friday
nm number
amo almost
poi position
ce care
ian iranian
tad trade
whr whether
bfo before
cal call
army army
eg enough
des does
po policymakers
ofe often
sii situation
wdy widely
src service
hard hard
sae same
gra great
shol school
arms arms
ler later
coc concern
wo working
yt yet
ul until
rc recently
sm statement
ste strike
jo joe
hea head
rl released
cnn cnn
fin find
tal talk
pn positions
aem agreement
pu put
pati partial
ji join
ll little
pre prime
developments developments
coci council
fct facilities
dt difficult
tyn trying
aoi avoid
hd husband
chn children
cner center
ried raised
sn saying
ces counteroffensive
par parts
df different
kh kazakhstan
che change
fire fire
lm lyman
ted tuesday
site site
sti strategic
lime limited
lo longer
kee keep
efforts efforts
tee telegram
scd second
wk work
me me
uts units
force force
rp report
loo look
caused caused
ter together
line line
launche launched
aexd annexed
iin increasingly
conditions conditions
ili implications
scs sources
bd body
lue league
min meeting
pas plans
sis sides
sll small
ge germany
wars wars
hl hold
ol oil
wae wagner
dis disinformation
meb members
crl critical
itli intelligence
seasn season
diy dirty
bte battle
crn current
mri mariupol
va via
lu language
pet percent
are area
3000 300000
rma remains
lost lost
20 20
amn administration
ote october
cann cannot
pri participation
too too
mes means
dna donbas
apn apartment
steg strategy
24 24
tes terms
iy immediately
ls losses
ocu occupation
tam team
vies vehicles
er early
wtr winter
ply particularly
thought thought
lg living
aao annexation
sk spoke
3 3
ared agreed
jl july
bs best
took took
pv providing
ahd ahead
na national
rg right
rne response
coms comes
ri risk
lead lead
bos borders
hvg having
tt twitter
rge refugee
gtt getty
ldg leading
sad started
iv initiative
cts costs
danr dangerous
hoe house
cz citizens
lf life
lrg large
8 8
7 7
cam claimed
oen open
tang taking
pnl personnel
alo along
el earlier
ion inflation
ctt content
epr export
wan want
cb combat
rly really
ro resources
soon soon
sete settlement
res reservists
experts experts
han hand
cee chinese
cel central
fv five
bom bomb
ie interests
dm domestic
trd tried
deo decision
sht short
rng range
mip multiple
want wanted
cot cost
iva invading
fls false
rfe refugees
cma company
ret rocket
frr former
stong strong
platforms platforms
gran german
oce once
riing rising
sps supplies
aru agricultural
ser sergei
rea remain
rrs reports
ir iran
ase asked
em extremely
bigt biggest
rsa russianoccupied
sx six
30 30
met met
io involved
ron reconstruction
loi losing
fou found
pg playing
wp weapon
roa road
vl village
dmd damaged
roc rockets
pui putins
coin commission
hma human
ch changing
lev leaving
tns things
uea understand
vt visit
wrr warfare
why why
bod bodies
es exercises
isu issues
trn turn
tkn taken
nord nord
4 4
crs course
adl additional
cre captured
heav heavy
rit rights
rou roundup
cg causing
alli allies
wat wheat
sel sell
ldp leadership
pln plan
conu continues
ens events
rr river
amd armored
fet fleet
ex exchange
gns gains
bnd behind
son son
cd continued
aae advanced
agn again
ior imports
iel illegal
lan luhansk
jt joint
bie believe
elt escalation
gne general
ga gave
gtn getting
dta data
sem system
nd needs
200 200
ntr natural
sho show
cmm common
shel shelling
sen sending
grt growth
cln claiming
sau saturday
cll carefully
fos focus
fed fled
ime image
aw away
lvs lives
lat late
clg challenges
acr aircraft
sra stream
cne consequences
sek speak
ba burial
chan channel
dr democrats
rle role
cu cut
aod allowed
mea mean
bra break
ass analysts
heer however
scae scale
18 18
ii ii
poer powers
tlen television
ph phone
ac assistance
ila island
ctd committed
bre brokered
prr partners
hst history
pb publicly
mmn moment
you young
alc alliance
pti potential
10 10
rie rise
rnn running
cdr consider
zy zelensky
ree receive
bring bring
kg killing
she showed
fri frontline
ti threatening
ced considered
mv mykolaiv
aril april
try try
ine invaded
opation operations
6 6
wne wednesday
did died
ftrs fighters
von von
der der
len leyen
sz scholz
pae package
beg begins
nas northeast
det defeat
smn settlements
ptl potentially
bcae became
cro cross
pp population
cri cruise
dir dnipro
siia similar
tak tank
deaths deaths
alow allow
rlt relations
cmt community
dea dead
hld held
ltd liberated
sar secretary
cae came
adr address
caln calling
vil vital
ports ports
tali talking
prve private
shog shoigu
fi flying
ani ammunition
eel especially
sve severe
mj majority
cin china
ain attention
saey safety
cete created
spe special
talk talks
tams teams
rsing raising
eei electricity
pts products
fue figure
gd ground
wt worth
tid third
sf safe
viw view
run run
mve moved
loe longrange
hhe higher
seen seen
opn operation
lav lavrov
doze dozens
oz organization
pot port
cims crimes
aca america
wnd weekend
pipelines pipelines
cns corners
vct victory
tog though
thr threat
wi win
lagy largely
addi adding
good good
sre share
lgs logistics
mbe member
ny nearly
stc struck
gom goemans
tll tells
hf himself
unt unit
every every
du destruction
dont dont
eci expectations
looi looking
uvs university
cmr commanders
desg designed
efe effect
pib possibility
ca car
ml millions
off office
ato atomic
fg figures
hud hundreds
ed edt
mie ministers
mdl medical
snd signed
rhr rather
dg doing
wme women
gv give
send send
nr northern
munitions munitions
stge stage
types types
atc attacked
eh eight
dri distribution
job job
bmg bombing
paye played
col closely
fut fought
nur numbers
bb bombs
bl blinken
dern deterrence
dus discuss
dy diplomacy
aud accused
wie white
cop conscription
fea fears
ied instead
ceal clearly
sig supporting
cain campaign
cnc concerns
whoe whose
tos towns
25 25
ata actually
led led
pon prisoner
deth death
tht thats
hos homes
onn opinion
sil simply
bco becomes
completed completed
erg everything
rel regular
goa georgia
by buy
fre free
ney nearby
vor volunteer
bed beyond
pes perceptions
fie failed
sola solidarity
bru belarus
dns demands
pan propaganda
zl zelenskiy
laet latest
aus austin
shells shells
pnr prisoners
fll fellow
smr summer
msve massive
citn citing
make makes
eme example
kkh kazakh
iii individual
q questions
eo europes
aen agencies
saf staff
anss analysis
spp supplied
tens tens
lieu literature
sin sign
asc association
je june
ide include
fla flag
diad displaced
hrs hours
ded deadly
dese desire
coer counterpart
spae space
cc commercial
hlpd helped
ng negotiations
reu result
plc politics
fce faces
cls calls
apr appears
rer return
addd added
cas case
iit institute
fdo freedom
tou throughout
yy yanukovych
am am
inee increased
sfe suffered
gien given
fto fedotov
lc local
rb republicans
rah reach
coid corridor
mm movement
cli claim
trs threats
dsi discussions
dce decree
opi opportunities
ray ready
pby probably
low low
eti effective
crnt confrontation
cvn conventional
decades decades
saw saw
ren referendums
piu previously
pne prominent
wed warned
sor soldier
cman crimean
iue included
wue wounded
luc launching
por poor
blo belgorod
bun building
ties ties
gu guard
nay navy
conc conduct
ry risky
workes workers
og ongoing
aims aims
cte create
sw swap
cty century
iec independence
bh brought
noi nothing
sws shows
oes outlets
epe expanded
fan france
orn organizations
afia africa
ddd decided
hres heres
seek seek
rded reduced
growin growing
les less
bei begin
ats activities
ehe either
arr arrived
add add
can certain
bred bread
aac attacking
tw towards
hue huge
nra northeastern
ago ago
tim tourism
ost opposition
roud round
mbl mobility
ipl implementing
alt adults
acti action
seno senior
fuel fuel
mws moscows
los looks
eis economics
ssend suspended
cng continuing
rte retake
ipe independent
nee neither
woa woman
kn kind
shig something
tas tass
sky sky
lah launch
poo poorly
fmi familiar
wak weak
cdm condemned
ile includes
ann annexing
rbl republic
35 35
ags aggression
lac lack
9 9
dp deep
drf draft
ura ursula
dam dam
inse inspectors
dor dollars
vii visited
dl displacement
fat fallout
ppa preparing
dma diplomatic
saae stalemate
pro provide
leg legal
sse sense
scc success
ger greater
31 31
vds videos
11 11
inn intended
sic specific
tre true
inese intense
qe quarter
eie equipped
50 50
lld likelihood
read read
epn experience
pos post
pec presence
prge prague
ldr leader
pss passed
rce resistance
bita britains
serv serve
trt targeting
sg supplying
trda thursday
weap weaponry
sum summit
offe offer
gre grave
sigs signs
sed suspend
twd toward
nb neighbors
iet interest
ere ensure
wig willing
def defend
cole complex
dnr danger
htrs howitzers
pd poland
ef effort
ia india
shae shape
rz realize
pam parliament
29 29
fy fully
stion stations
bnn banned
bow blow
ivl individuals
tat target
rm resume
psu pressure
sos shortages
door door
sks spokesman
sie sites
pue pressures
dss diseases
anu annual
dde decide
act act
satu status
ja javascript
deste despite
ea elena
nao nation
bild build
conte counter
comi coming
amid amid
prd prepared
swn shown
rep respond
dut deputy
faclt facility
oud outside
ib impossible
ins inside
reea research
fig financing
hoi holding
201 2014
terst terrorist
rud recaptured
uo uploaded
221 2021
hub hub
eb establish
lod lloyd
id iranianmade
warn warn
sped spread
tot total
ecm economies
epnd explained
dne denied
exd extended
seem seem
tay today
req required
wet went
orde ordered
pol policy
soc source
mean meaning
badl badly
cif chief
crc contract
rre returned
tres tremendous
step step
sent spent
ij injured
krn korean
cats cautious
lied lived
evr ever
poss process
bor boris
cmts comments
proe proposed
cut court
sfi suffering
tis times
mac macron
host host
pic participate
meet meet
dst disrupted
oct oct
eee evidence
amng arming
need needed
caas capitals
mns minds
fth father
tye type
comd command
fired fired
nver never
old old
cvnc convince
mobilized mobilized
ans accounts
bu bucha
dfe defeated
win wins
era era
fm form
jn johnson
showing showing
cdd conducted
pw powerful
bri britain
cp compared
pson prison
17 17
hy highly
ent entire
cna canadian
sct subject
rul rule
qk quickly
coni companies
any antony
wang wang
yi yi
cap caption
tess tensions
pld pulled
ched changed
grnt governments
effe effectively
rk risks
sest suggest
rlef relief
ssl successful
real real
fer faster
mete metres
all allows
bkn broken
jts jets
moy mostly
fear fear
prs prospect
pda presidential
dead demand
exl external
nve narratives
srt street
aou although
oein operating
vss vessels
togh tough
rnnl russianinstalled
clt cluster
sls schools
mies miles
ets exporters
seel steel
cai carried
stis stories
qn question
uf useful
blt built
bcn blocking
fle flee
sups supports
ies increases
play play
oet overnight
dropp dropped
40 40
pj project
doen dozen
meu measures
prt party
pres press
raon reason
trus truss
lot lot
rest rest
aee attempted
jg joining
ones ones
rnet respondents
sif shift
lb liberation
cat climate
deft deficit
fnae finance
oug occupying
nk networks
16 16
rule russiancontrolled
boce blocked
ror reporters
aai affairs
ten ten
cag charge
pras purchase
iz izium
goods goods
mon morning
py portray
eem enemy
plal politically
eae enable
sot society
rct recruits
slw slow
plar particular
ien increasing
psts posts
brl brutal
cpb capable
foi fastmoving
wide wide
crng carrying
rtn reporting
bev believes
cse cases
sik striking
gnd grand
rid rebuild
esn essential
upr upper
deor director
bin buildings
rme regime
unr unrest
mddl middle
dme department
bli billionaire
capn capturing
viee viewed
mder modern
sey survey
ptn production
52 52
isd imposed
red red
ple player
hey hockey
csan conversation
rei retaliation
sing seeking
wds worlds
ban ban
hima himars
retg resulting
chi chains
una universal
ltt letter
alleged alleged
thning thinking
pare parties
ras relationship
daily daily
orr orders
oee opened
dni denials
ite interview
asu assault
196 1962
dey deeply
cig creating
12 12
eut education
olh oleh
full full
aut august
agee agree
mem memorandum
bul brussels
ways ways
atm attempt
sear scenario
pef peaceful
apd appeared
bues buses
rga regarding
lst list
samn statements
albl available
wos whos
oa olaf
cha chinas
moi moderation
zn zealand
nz nz
gun gun
spu spur
inie injuries
ske snake
fic fiscal
bitr bitter
kv kyivs
nc necessary
fel feel
21 21
wans wants
trip trip
bad bad
lee level
acac accuracy
trty treaty
mau manufactured
rll regularly
intl initial
planne planned
bid bid
endi ending
bln balance
qu queue
kdm kingdom
dng deepening
nau nature
hde harder
cgns campaigns
sus successes
rerl reportedly
eps expects
choe chose
tv tv
pua prorussian
rh rich
eq equal
soe spoken
bis bills
aime aimed
lgr longterm
anon anyone
rrea retreat
kno knocked
22 22
srv services
espn espn
preu previous
sch speech
aci acting
dstg destroying
sal seattle
tai train
rugl roughly
dil drills
ena engaged
sng shipping
pis policies
28 28
ldo london
ly lay
itl internal
sta stance
live live
27 27
uc unclear
done done
shot shot
acra accurate
ege emerge
otn obligations
blc ballistic
png pushing
eon explosion
strge storage
cun cuban
capin captain
abt ability
stim sometimes
bat bat
rin remaining
med medicine
atla atlantic
institutions institutions
nke nukes
riz recognize
sam sham
demad demanded
cv conversations
dc documented
cpt compete
ece executed
ure urged
aped approved
yo yakov
feo facebook
deep deeper
lin link
mcie mercenaries
ade alongside
deese defensive
str story
pin peddling
legt legitimate
spedg spending
pow pows
dat devastating
epv explosives
sak stake
caae casualties
ara arab
rls rubles
tge toggle
lai latin
sri series
poe produce
ttr territorial
dv devoted
adn advance
pea perhaps
crd crossed
im im
tms themselves
mls mobilised
kp keeping
zne zone
aged aged
got got
reme removed
stp stop
223 2023
drv drive
sabl stable
lar learned
rst respect
ddn didnt
ful fullscale
otb outbreak
ipa imperial
45 45
hpg helping
oter others
fud fund
hdy hardly
view views
dei described
saed stayed
trh turkish
brin berlin
canl chancellor
rere reverse
acl agriculture
oei oleksii
tts theorists
actr actors
estimated estimated
aov azov
hit historic
55 55
ptt putting
oil officially
fow followed
maa martial
youe youre
csd closed
man man
cder commander
inc indication
caus cause
mnes minutes
test test
reiy relatively
sloe slower
reud refused
rey repeatedly
fec french
aet attempts
rils rifles
rv remove
400 400
wor words
eus euros
jls journalism
lma legitimacy
mtu mutual
dev delivered
fall fall
cii capabilities
aon attrition
thw thrown
afct affecting
kt kept
auh author
aes americans
hio historical
pig paying
ape appeal
clb club
gro groups
investigations investigations
cet continent
lgt light
eha exchanged
net neutral
svin serving
rec reflect
cf conflicts
pase phase
pse passage
rrev representatives
dmo dmytro
eau evacuate
rt rt
ilne influence
sle scheduled
