9.4101 S, 139.6397 E
10.2456 S, 73.9609 W
73.8919 S, 148.1053 E
30.2904 N, 112.4051 E
2.6990 S, 169.5798 E
61.6518 S, 34.7801 W
86.4140 N, 76.1608 E
59.4744 S, 13.6336 E
17.1863 N, 53.3673 W
32.0804 N, 86.3598 E
66.9602 S, 160.1387 E
82.0563 S, 25.0244 W
76.4892 S, 138.9639 W
78.6282 N, 169.5954 W
9.4178 N, 93.6076 W
58.6304 S, 69.0211 E
24.8307 N, 25.7665 E
9.5997 S, 173.9607 E
29.7682 S, 140.3354 E
80.2045 N, 167.7571 E
30.8007 N, 82.3193 W
22.3633 S, 160.9846 E
67.4890 N, 150.1602 E
36.2355 N, 22.6678 W
71.8155 S, 144.7218 E
21.4701 N, 56.1896 W
59.2192 S, 108.7564 E
21.0270 S, 179.9093 E
59.0536 N, 27.1793 W
84.9493 S, 152.9686 W
41.3035 S, 44.4076 W
27.6554 S, 35.1187 W
57.7058 N, 113.6007 W
72.9746 N, 95.2496 W
54.3102 N, 34.1151 E
10.8602 S, 56.4472 E
74.1415 S, 61.2439 W
64.9679 S, 28.2503 W
13.7879 N, 54.4279 W
79.4138 N, 65.1836 W
40.7681 S, 45.4632 W
61.9676 N, 0.5220 W
88.9675 N, 67.1944 W
69.0395 S, 4.9940 E
51.2372 S, 122.7485 W
3.3174 S, 123.1456 E
44.0127 N, 177.7816 W
50.5195 N, 145.9141 E
54.6655 S, 60.5596 W
83.6524 N, 83.2862 W
87.5767 N, 0.3665 E
36.4821 N, 113.9813 E
86.3647 S, 140.1757 W
81.1436 S, 72.8686 W
73.6736 N, 140.4611 E
62.5398 S, 102.9693 W
19.0908 S, 152.3906 E
25.2586 N, 65.0633 E
24.8086 N, 64.5398 W
16.3968 N, 86.9413 W
73.2632 S, 39.4529 W
68.8609 N, 166.9580 W
7.9184 N, 92.9740 W
63.8053 S, 94.5839 E
83.8175 N, 6.5801 W
49.3050 N, 4.1801 W
21.0316 N, 145.6806 E
10.0746 N, 179.9711 E
56.9403 S, 123.5303 E
45.9984 S, 46.1629 W
36.6978 S, 65.1477 W
18.4169 S, 55.8965 W
85.0354 S, 137.0975 W
57.6182 S, 13.1502 E
80.0473 N, 161.3116 W
69.0022 S, 75.6291 W
15.2775 S, 138.5190 W
43.6988 S, 169.1656 E
81.0792 N, 22.6161 E
30.0157 N, 142.0792 W
47.3879 N, 30.5975 W
61.1054 N, 129.6251 W
20.3501 N, 174.3950 W
52.6569 S, 63.4914 E
73.1070 N, 108.3637 E
83.4015 S, 73.7453 E
15.8645 N, 14.7386 E
27.5747 S, 122.2856 E
50.5447 N, 11.1799 W
2.2057 S, 158.4157 E
28.5914 N, 27.0728 W
33.8054 N, 163.0486 E
52.3838 S, 20.0802 W
3.6570 N, 109.5685 E
20.5606 S, 33.9187 E
67.6581 S, 69.1067 W
15.6402 N, 141.3536 E
60.0206 S, 116.3576 W
39.7368 S, 36.6051 E
1.9898 N, 90.8124 E
59.2162 S, 116.6056 W
1.9676 N, 146.9948 W
11.8568 S, 164.3129 W
61.4359 N, 52.2380 E
7.4146 S, 6.7139 W
37.7571 S, 79.9749 W
13.3921 N, 166.0038 E
25.1948 N, 96.2992 E
39.9661 N, 118.6916 E
36.4092 S, 73.2969 E
70.6122 S, 57.7448 W
38.4485 N, 71.3526 W
21.3736 S, 109.5710 E
19.6936 N, 83.1478 E
59.2833 N, 26.0428 E
82.6728 S, 34.1222 W
29.8980 N, 76.6106 W
83.6710 N, 179.6959 W
65.4547 S, 140.2430 E
63.3320 S, 0.2218 W
88.7759 S, 76.8500 W
24.2521 S, 35.4225 E
61.8515 N, 120.9728 W
86.2424 S, 88.5171 W
44.5470 N, 93.0408 W
19.4533 N, 49.8897 W
19.8505 N, 139.1593 W
32.5427 S, 129.8829 W
79.5358 N, 46.6438 W
7.1793 S, 101.7138 W
11.9030 S, 145.1038 W
22.2078 S, 112.5156 E
66.9758 N, 31.9218 E
78.2492 N, 18.8817 W
21.1232 S, 177.3930 W
69.1154 S, 107.7410 E
31.8234 S, 41.7312 W
2.2318 N, 107.6054 E
39.2905 S, 118.9959 W
10.4389 S, 135.5917 E
44.8616 N, 36.7732 E
30.5484 N, 163.8763 W
52.5755 S, 60.2524 E
75.9928 S, 78.4995 E
83.2460 N, 134.2972 E
50.8191 S, 113.4057 E
68.0791 S, 86.2066 W
31.2368 S, 96.3047 W
69.5110 N, 122.0395 E
13.3582 S, 78.7204 W
81.6329 S, 37.5101 E
34.0330 N, 149.0449 E
69.9753 S, 24.1972 W
85.8781 N, 177.6563 W
62.0699 S, 108.5801 E
53.2555 S, 120.5068 W
67.0527 S, 5.3438 E
88.4386 S, 142.1764 W
61.7524 N, 74.4072 E
20.2642 S, 159.7654 E
61.2552 S, 117.5927 E
25.5454 N, 71.4978 E
62.6504 N, 12.0090 W
22.8833 S, 103.5974 W
4.4756 N, 178.9248 W
13.2796 S, 109.5180 W
26.5571 N, 169.4490 E
4.9763 N, 49.4990 W
1.6993 S, 12.5261 E
21.8799 S, 120.6019 E
72.4894 N, 125.8255 W
54.4344 N, 108.3728 E
40.9009 N, 162.3911 W
57.0967 N, 145.0181 W
85.2679 S, 163.4473 W
89.0789 S, 60.1134 E
7.2449 N, 155.7184 W
51.0470 S, 129.9857 W
64.2141 S, 92.1236 E
41.9772 S, 118.0527 E
71.2931 N, 43.5870 W
3.0314 N, 79.9730 W
18.8736 N, 95.4847 E
1.3506 N, 4.8371 E
79.6624 N, 39.0111 W
78.7081 S, 91.7336 W
27.2678 N, 104.4148 W
64.3127 S, 150.6934 E
54.6752 S, 2.2837 E
40.6609 S, 14.9547 W
79.7524 S, 82.3538 W
81.9505 N, 19.6000 E
46.9000 N, 58.0448 W
84.4151 N, 15.4169 W
29.9556 N, 163.5399 E
42.5013 N, 113.5671 W
17.1706 N, 88.9235 E
35.3317 N, 41.0960 W
64.2703 N, 57.4825 W
46.2910 N, 103.3122 E
27.4661 S, 179.4562 W
2.9341 N, 107.1799 E
11.5955 S, 0.9004 E
18.3400 S, 31.8262 E
63.0879 N, 123.4080 W
46.1392 S, 40.4430 E
45.2457 N, 3.3595 W
85.5089 S, 11.9082 W
24.0687 N, 6.2682 E
76.4237 N, 175.3175 W
8.7823 N, 77.6862 E
65.4596 N, 100.8598 E
25.3906 S, 144.7146 W
44.7261 N, 140.1558 E
23.2487 N, 84.1623 W
50.6965 N, 160.0921 W
22.5078 S, 50.4814 W
46.0368 S, 162.5327 W
78.1349 S, 167.8669 W
81.1123 N, 89.0888 W
12.5410 N, 61.3302 W
64.3222 S, 90.8231 W
39.2713 S, 77.2537 W
42.8686 S, 10.5574 E
1.6761 S, 24.9487 W
17.1781 S, 42.7856 W
13.6533 N, 107.5148 E
