5.9120 N, 56.5964 W
24.2716 N, 87.5926 W
71.4842 S, 133.4412 E
46.4727 S, 80.8413 W
87.3655 S, 159.9778 W
70.6197 N, 159.8696 W
21.6099 S, 57.3184 W
9.9797 N, 133.7623 W
22.9741 S, 70.6853 E
89.1899 N, 47.1356 W
57.9301 N, 55.4422 W
0.0693 S, 18.3906 W
11.8931 N, 44.5204 W
25.0020 N, 45.9454 W
44.6694 S, 165.6052 E
48.4234 N, 14.8637 W
28.5017 S, 170.9205 E
12.9517 N, 177.5733 E
14.4406 S, 73.2335 E
43.9690 N, 122.1801 E
62.1246 S, 170.7516 E
49.2163 S, 92.8230 E
25.1063 N, 98.2646 E
31.1859 S, 125.2259 E
9.3943 S, 132.0708 W
19.6628 N, 131.6962 W
56.2482 N, 23.8074 E
40.3589 S, 169.1577 E
9.5092 S, 21.8627 E
59.1177 N, 133.9546 E
51.4862 N, 116.9757 W
74.0864 S, 91.8809 W
18.6506 N, 0.8499 E
50.7696 S, 43.5142 E
53.8786 S, 147.3777 W
60.2990 N, 6.3117 E
68.3087 S, 92.7727 W
52.5241 N, 177.2980 E
51.1066 N, 91.8962 W
38.3309 N, 66.0357 W
4.7632 N, 1.2159 E
85.8409 N, 110.5299 E
8.1679 N, 86.4936 E
78.0610 S, 62.1796 W
71.5675 S, 97.3871 E
84.7471 S, 56.4458 E
52.4938 N, 167.3412 E
39.7088 S, 12.4817 E
7.5370 S, 172.0552 W
37.1234 S, 125.6430 W
13.9553 N, 89.2004 W
84.9750 N, 96.6333 W
83.2709 S, 62.3922 W
3.0878 S, 150.1628 E
76.8111 N, 165.4948 E
45.3656 N, 110.5421 W
60.7120 S, 76.3326 E
50.1901 N, 129.4435 E
46.5850 N, 16.5322 E
62.3011 N, 76.1530 W
63.2953 S, 45.2506 W
29.6936 S, 89.5483 E
31.0042 N, 135.4968 E
29.8930 N, 90.1696 E
19.7349 S, 46.6894 W
88.4016 S, 179.9343 W
83.4942 N, 100.9725 W
9.2046 N, 160.2434 E
4.5501 S, 132.1983 W
77.9176 N, 34.8247 W
50.3341 N, 99.0629 E
72.6868 S, 166.0473 E
49.7971 N, 136.9180 E
68.8087 N, 103.1070 E
5.6385 S, 55.2745 W
22.4896 S, 16.4485 W
28.3723 N, 173.9410 W
86.6476 N, 50.4921 W
34.7840 S, 170.5204 E
12.0449 S, 55.6214 E
66.1752 S, 52.1341 E
50.8731 N, 125.1111 E
84.2845 S, 99.8960 W
43.8600 S, 13.4882 E
41.5824 S, 167.5002 W
