63.2742 S, 115.9766 W
38.9701 N, 58.6692 W
50.3206 N, 1.2889 W
3.3172 S, 110.5281 E
30.6505 N, 6.8126 E
0.2557 N, 61.2974 E
40.1753 N, 21.8220 E
10.5808 N, 138.5263 W
59.7349 S, 13.0466 E
69.4898 S, 42.9146 W
58.0884 S, 100.9180 W
31.1287 S, 118.9881 E
39.7871 N, 166.0576 W
10.8708 S, 93.4891 E
48.1611 N, 28.7418 W
49.6599 N, 174.4597 E
17.0216 N, 4.8834 E
23.6875 N, 33.1302 E
63.1026 N, 55.9557 W
17.5836 S, 0.7208 W
22.0532 S, 143.0438 W
57.4790 S, 68.7006 E
44.0187 S, 20.1411 E
16.2147 S, 24.7133 E
28.6280 S, 120.2884 W
12.7866 N, 140.7657 E
62.1220 S, 51.7887 W
66.7187 N, 51.3588 E
69.5330 N, 81.2149 E
71.2595 S, 150.6920 E
73.4218 S, 163.7996 W
9.1831 S, 176.0141 E
18.0069 S, 84.4216 W
84.6889 N, 96.7891 W
9.7759 S, 21.8191 E
37.7850 N, 131.0490 E
23.3167 S, 107.4657 E
32.7671 S, 117.9501 E
80.2532 N, 86.1503 W
16.0596 S, 63.9161 E
63.7063 N, 126.1560 W
48.1336 N, 45.0880 W
74.4094 N, 149.5480 E
58.1772 N, 62.6902 W
15.1003 N, 44.9852 W
42.8166 N, 34.3994 E
9.3761 N, 5.1379 W
60.3352 S, 118.0304 E
12.9460 S, 121.7927 E
35.2576 N, 120.4839 W
55.7930 S, 66.6412 W
80.8975 N, 164.8493 W
60.5748 S, 13.7936 W
1.5022 N, 108.4209 W
60.0920 S, 65.4918 E
29.6672 N, 102.0851 W
19.0876 N, 27.4574 E
35.4665 S, 74.0884 W
4.6491 S, 30.6586 E
18.1453 S, 130.2743 W
59.8482 N, 8.3544 W
74.9865 S, 10.6459 E
37.7861 N, 1.5513 E
18.1148 S, 125.4644 E
33.7004 N, 152.6028 E
22.1489 N, 43.8263 E
45.4487 S, 9.5647 W
51.6280 N, 7.5757 W
6.4313 S, 74.7536 W
44.9028 S, 58.9022 E
0.5677 N, 141.4145 E
49.8585 N, 38.2334 E
69.5270 N, 156.4197 E
63.8788 N, 150.6053 W
7.9279 S, 60.8493 W
85.1244 N, 157.9703 W
49.0951 N, 150.3909 E
76.5365 N, 106.7494 E
32.7970 N, 35.1676 W
74.4415 S, 27.6479 E
5.3616 S, 62.1112 E
17.7496 S, 138.0821 E
70.5237 N, 148.8273 E
28.7709 N, 13.5902 W
76.6942 S, 107.1119 E
44.8317 N, 102.9529 E
77.7678 S, 146.0692 W
35.1784 N, 48.9051 W
53.1336 N, 111.0755 W
49.9207 N, 129.8576 E
19.3999 N, 157.7377 E
5.0675 S, 127.2216 W
55.6638 N, 26.5431 E
82.4421 N, 151.2642 W
40.1334 S, 3.3306 W
2.1178 N, 7.0122 E
37.8132 S, 153.6267 E
68.1847 N, 168.3003 E
53.4476 N, 68.6799 W
38.3113 S, 30.9962 W
89.3036 S, 3.4562 W
0.5980 N, 85.2866 E
46.1753 N, 70.4131 W
68.7227 N, 59.8214 W
56.5013 N, 167.6847 W
37.5261 S, 127.8588 W
50.4994 N, 43.4478 W
60.0254 S, 30.0767 W
77.2865 N, 72.0583 W
21.3539 S, 33.9229 E
57.4685 S, 16.7324 W
84.7239 N, 2.8628 E
50.5004 S, 94.7413 W
8.7815 S, 114.6813 W
41.9326 N, 78.5851 E
64.6051 S, 60.9184 W
54.6546 S, 83.9282 E
65.8658 N, 15.0722 E
0.6198 S, 177.7176 E
40.8680 S, 150.0578 E
39.1954 N, 172.1124 E
9.8616 N, 7.7131 W
38.4371 S, 145.9701 W
23.9124 S, 59.4728 W
84.4078 N, 162.7406 E
79.4628 S, 94.0938 E
89.1894 S, 32.7625 W
53.4871 S, 47.9539 E
75.9868 N, 69.2103 E
8.7562 N, 29.7563 E
33.3730 N, 114.7445 E
58.5083 S, 22.8583 E
88.7440 S, 132.5663 W
77.5045 N, 168.6462 W
43.4262 N, 93.6498 E
24.9770 N, 119.3359 E
61.6660 N, 155.6010 E
2.7595 S, 131.5029 W
72.5888 S, 96.8823 E
28.1175 N, 50.0903 W
34.5206 S, 62.8062 W
11.8781 N, 13.9408 W
8.8210 S, 129.7679 E
70.2083 S, 98.0650 W
47.5629 S, 93.2733 E
70.0233 N, 8.0777 W
58.9595 N, 125.3985 E
62.4587 N, 137.3863 E
22.0196 N, 121.0346 W
27.9436 N, 177.6540 E
11.3973 N, 168.4346 E
28.2869 N, 22.7874 E
14.9184 N, 114.7694 W
53.1943 N, 61.3089 W
75.5390 N, 15.0134 E
25.7230 S, 41.9882 E
12.8603 N, 173.8026 W
36.1098 N, 64.3687 E
55.2441 N, 179.7618 E
56.3264 N, 53.0409 W
79.3895 S, 104.3516 W
75.8928 S, 17.0527 W
12.2474 N, 109.1931 W
61.8635 N, 115.5565 E
9.8790 N, 21.1261 E
5.8702 N, 144.7318 E
7.3516 N, 0.3596 E
72.4490 S, 14.7929 W
0.9000 S, 55.4426 W
45.0400 S, 90.8718 W
41.4724 S, 91.8400 W
80.7616 S, 172.6941 E
60.4270 N, 111.7871 E
79.3723 S, 129.1605 W
11.5715 N, 137.2773 E
63.9699 S, 123.5077 W
