agent,seed,n,message,decoded message,score
5,318213,20,ISM RIM4 05052025,ISM RIM4 05052025,1
5,318213,20,AKC HEHK 02072025,AKC HEHK 02072025,1
5,318213,20,APT 08DG 03282024,APT 08DG 03282024,1
5,318213,20,HTL 7D21 11102023,HTL 7D21 11102023,1
5,318213,20,CLS D1SE 03192025,CLS D1SE 03192025,1
5,318213,20,LNS VNXG 05282024,PARTIAL: LNS VNXG 0528202,0.8888888888888888
5,318213,20,SDX WYJV 12092024,PARTIAL: SDX WYJV 1209202,0.8888888888888888
5,318213,20,DRG B5TE 10242025,DRG B5TE 10242025,1
5,318213,20,ATY JM0B 06012025,ATY JM0B 06012025,1
5,318213,20,MPZ MDI0 01212025,MPZ MDI0 01212025,1
5,318213,20,MBS OAXG 07142025,MBS OAXG 07142025,1
5,318213,20,DCR J8I2 03152023,DCR J8I2 03152023,1
5,318213,20,FEP CWSU 10152025,FEP CWSU 10152025,1
5,318213,20,SFB OE4H 08262024,SFB OE4H 08262024,1
5,318213,20,SGW 38EU 12232024,SGW 38EU 12232024,1
5,318213,20,DAY D9NS 08162023,DAY D9NS 08162023,1
5,318213,20,WOW GMW3 03122023,WOW GMW3 03122023,1
5,318213,20,HKP O1PA 03212025,HKP O1PA 03212025,1
5,318213,20,HUD KE2Z 06172024,PARTIAL: HUD KE2Z 0617202,0.8888888888888888
5,318213,20,SDM 9UTP 03172025,SDM 9UTP 03172025,1
5,318213,20,APH 1Y2N 05232024,APH 1Y2N 05232024,1
5,318213,20,AMW PU3I 06182025,AMW PU3I 06182025,1
5,318213,20,PUB IXXM 04252025,PARTIAL: PUB IXXM 0425202,0.8888888888888888
5,318213,20,ASQ MFUL 06092025,ASQ MFUL 06092025,1
5,318213,20,ELV TT8D 11192024,ELV TT8D 11192024,1
5,318213,20,GFK 8150 07272025,GFK 8150 07272025,1
5,318213,20,LGA PWEU 04202023,LGA PWEU 04202023,1
5,318213,20,EAR 368N 01112024,EAR 368N 01112024,1
5,318213,20,MGM M6GD 02202025,MGM M6GD 02202025,1
5,318213,20,PTB HLU3 01142023,PTB HLU3 01142023,1
5,318213,20,RED G9R1 05102023,RED G9R1 05102023,1
5,318213,20,TVC K2RH 05182025,TVC K2RH 05182025,1
5,318213,20,BGD 1B9J 01102024,BGD 1B9J 01102024,1
5,318213,20,DMA 28V5 02052025,DMA 28V5 02052025,1
5,318213,20,HRO IMHY 06192025,HRO IMHY 06192025,1
5,318213,20,TOL 95NH 06022025,TOL 95NH 06022025,1
5,318213,20,LDJ 2COO 11132025,LDJ 2COO 11132025,1
5,318213,20,MYR RW67 06052024,MYR RW67 06052024,1
5,318213,20,DUJ W4E7 07112025,DUJ W4E7 07112025,1
5,318213,20,CVG R87C 04042024,CVG R87C 04042024,1
5,318213,20,ELP 3FN3 05252024,ELP 3FN3 05252024,1
5,318213,20,JRB LKHL 05032024,JRB LKHL 05032024,1
5,318213,20,HZL QF72 01212024,HZL QF72 01212024,1
5,318213,20,HII OGSZ 10082023,HII OGSZ 10082023,1
5,318213,20,FIL L4MH 11272024,FIL L4MH 11272024,1
5,318213,20,AIK D28M 03072025,AIK D28M 03072025,1
5,318213,20,EUE 3O4E 05032024,EUE 3O4E 05032024,1
5,318213,20,PWD A50D 11112025,PWD A50D 11112025,1
5,318213,20,RKD N4OJ 04132025,RKD N4OJ 04132025,1
5,318213,20,SFR X1BP 03182024,SFR X1BP 03182024,1
5,318213,20,PGV 0T78 06152023,PGV 0T78 06152023,1
5,318213,20,JCY 95V2 01152025,JCY 95V2 01152025,1
5,318213,20,SER 5OFS 08192023,SER 5OFS 08192023,1
5,318213,20,MUE C5ZM 03252025,MUE C5ZM 03252025,1
5,318213,20,UNU D7MR 04012024,UNU D7MR 04012024,1
5,318213,20,MTN 9Y7R 01222023,MTN 9Y7R 01222023,1
5,318213,20,AVW 5XVZ 02242025,PARTIAL: AVW 5XVZ 0224202,0.8888888888888888
5,318213,20,PAM B6AX 12282024,PAM B6AX 12282024,1
5,318213,20,MZZ A7MM 10052023,MZZ A7MM 10052023,1
5,318213,20,KKT 1OBX 06232025,KKT 1OBX 06232025,1
5,318213,20,IVH 8PWZ 02012025,IVH 8PWZ 02012025,1
5,318213,20,LAA UBMR 01202024,LAA UBMR 01202024,1
5,318213,20,PPC 3HY2 08162024,PPC 3HY2 08162024,1
5,318213,20,LGF NEU9 07272024,LGF NEU9 07272024,1
5,318213,20,FSM MPW6 05272025,FSM MPW6 05272025,1
5,318213,20,MVE 9WT4 02052025,MVE 9WT4 02052025,1
5,318213,20,NGZ 9QAZ 01272025,PARTIAL: NGZ 9QAZ 0127202,0.8888888888888888
5,318213,20,KXA KGGJ 09172024,PARTIAL: KXA KGGJ 0917202,0.8888888888888888
5,318213,20,STE 1PT4 08032025,STE 1PT4 08032025,1
5,318213,20,SBM 52TX 08182023,SBM 52TX 08182023,1
5,318213,20,CUB 7937 07032025,PARTIAL: rec,0
5,318213,20,PRZ YQ4K 08112024,PARTIAL: PRZ YQ4K 0811202,0.8888888888888888
5,318213,20,SGW FJEM 11232023,SGW FJEM 11232023,1
5,318213,20,MAC TRK8 04162025,MAC TRK8 04162025,1
5,318213,20,MDD VYN5 02212025,MDD VYN5 02212025,1
5,318213,20,ETB 72T5 03232025,ETB 72T5 03232025,1
5,318213,20,TOR 86DY 05242025,TOR 86DY 05242025,1
5,318213,20,TNK Q3CF 01272025,TNK Q3CF 01272025,1
5,318213,20,PVL SVG4 01182023,PVL SVG4 01182023,1
5,318213,20,ANP V2MZ 04282025,ANP V2MZ 04282025,1
5,318213,20,YAK J4QN 11122024,PARTIAL: YAK J4QN 1112202,0.8888888888888888
5,318213,20,DLH T5IO 06062023,DLH T5IO 06062023,1
5,318213,20,MKK 1R0R 03132023,MKK 1R0R 03132023,1
5,318213,20,IVH QGVI 04032025,PARTIAL: IVH QGVI 0403202,0.8888888888888888
5,318213,20,AKI 1AMN 06202023,AKI 1AMN 06202023,1
5,318213,20,SAA DAOO 10062025,SAA DAOO 10062025,1
5,318213,20,RAL RIS5 12092024,RAL RIS5 12092024,1
5,318213,20,AUM Z4FM 12192023,AUM Z4FM 12192023,1
5,318213,20,HGR GDE0 01032025,HGR GDE0 01032025,1
5,318213,20,ITO P4P0 04142023,ITO P4P0 04142023,1
5,318213,20,IAD XU05 08062025,IAD XU05 08062025,1
5,318213,20,CIK ZMHV 06082025,CIK ZMHV 06082025,1
5,318213,20,UES RLTC 12142023,UES RLTC 12142023,1
5,318213,20,VHN T3KU 05122023,VHN T3KU 05122023,1
5,318213,20,THA Q8M8 04042024,THA Q8M8 04042024,1
5,318213,20,OZR J14S 03092023,OZR J14S 03092023,1
5,318213,20,HED 4FXE 11102025,HED 4FXE 11102025,1
5,318213,20,KPN NB82 09072025,KPN NB82 09072025,1
5,318213,20,UKN 2IJS 08192024,UKN 2IJS 08192024,1
5,318213,20,KBW UZVQ 09142024,PARTIAL: KBW UZVQ 091420,0.8333333333333334
5,318213,20,FCM XYKR 10042025,FCM XYKR 10042025,1
5,318213,20,DCK V0OB 07252024,DCK V0OB 07252024,1
5,318213,20,PHD 4HIO 11252024,PHD 4HIO 11252024,1
5,318213,20,PAH YZBQ 07032024,  84 ,0
5,318213,20,VNC 21FX 09132023,VNC 21FX 09132023,1
5,318213,20,BBC C19U 01022025,BBC C19U 01022025,1
5,318213,20,CGI 08BO 01122023,CGI 08BO 01122023,1
5,318213,20,SVW 5YJA 10202024,SVW 5YJA 10202024,1
5,318213,20,SYA GMLI 01072023,SYA GMLI 01072023,1
5,318213,20,COE 29SV 07012024,PARTIAL: snssheaa,0
5,318213,20,BNL BW6S 01112024,BNL BW6S 01112024,1
5,318213,20,BYG F3UT 12092024,BYG F3UT 12092024,1
5,318213,20,RTL 0BEY 08122025,RTL 0BEY 08122025,1
5,318213,20,KLS 88VK 04032024,KLS 88VK 04032024,1
5,318213,20,SOV N49A 09052025,SOV N49A 09052025,1
5,318213,20,ESN NLDV 11012023,ESN NLDV 11012023,1
5,318213,20,SHX A4P7 06152023,SHX A4P7 06152023,1
5,318213,20,OTH G56S 04232024,OTH G56S 04232024,1
5,318213,20,MTC WO05 09232024,MTC WO05 09232024,1
5,318213,20,ABI RRDJ 02232023,ABI RRDJ 02232023,1
5,318213,20,FAY KJRJ 06172025,FAY KJRJ 06172025,1
5,318213,20,YKN GTDJ 06122025,YKN GTDJ 06122025,1
5,318213,20,PAE HY7I 08112023,PAE HY7I 08112023,1
5,318213,20,GRF D6LE 06142023,GRF D6LE 06142023,1
5,318213,20,HNB 1TDI 03032023,HNB 1TDI 03032023,1
5,318213,20,KGK 8L80 01082024,KGK 8L80 01082024,1
5,318213,20,CNM AI4F 03072025,CNM AI4F 03072025,1
5,318213,20,KTN 2QPO 12082025,KTN 2QPO 12082025,1
5,318213,20,HUF 8CMS 09152025,HUF 8CMS 09152025,1
5,318213,20,BIG R63Y 09202023,BIG R63Y 09202023,1
5,318213,20,FFT ZYO7 09012025,FFT ZYO7 09012025,1
5,318213,20,OEO L9HM 03252024,OEO L9HM 03252024,1
5,318213,20,GJT NMO0 12032025,GJT NMO0 12032025,1
5,318213,20,FWL 6LDG 01012023,FWL 6LDG 01012023,1
5,318213,20,HII 264H 05192023,HII 264H 05192023,1
5,318213,20,LAL 1SO9 03152025,LAL 1SO9 03152025,1
5,318213,20,BGQ DZ4Q 10232023,PARTIAL: BGQ DZ4Q 1023202,0.8888888888888888
